"plate_x","plate_z","pitch_name","description","stand","release_speed","release_spin_rate"
0.45,1.92,"Knuckle Curve","called_strike","R",81,2740
-0.04,1.97,"Knuckle Curve","swinging_strike","R",82.6,2802
-0.72,2.33,"4-Seam Fastball","called_strike","L",96.3,2417
0.4,3.59,"4-Seam Fastball","swinging_strike","L",95.2,2423
0.15,2.29,"4-Seam Fastball","foul","L",95.2,2343
-0.31,3.5,"Knuckle Curve","ball","L",81.7,2795
0.45,2.36,"Knuckle Curve","hit_into_play","R",85.7,2743
0.75,2.26,"Cutter","called_strike","R",93.2,2437
0.13,2.63,"Cutter","swinging_strike","R",91.2,2478
-0.98,4.69,"4-Seam Fastball","ball","R",96.9,2364
0.97,0.04,"Knuckle Curve","blocked_ball","R",84.3,2777
-0.01,3.26,"4-Seam Fastball","hit_into_play","L",96.5,2288
-0.84,3.53,"Knuckle Curve","ball","L",82.7,2728
-0.1,2.98,"4-Seam Fastball","swinging_strike","L",96,2328
-1.39,3.1,"4-Seam Fastball","ball","L",96.1,2300
-1.13,0.52,"Changeup","ball","L",88.9,1438
0.26,1.72,"Knuckle Curve","called_strike","L",83,2681
-0.05,3.4,"4-Seam Fastball","hit_into_play","L",96.1,2368
0.28,2.72,"4-Seam Fastball","foul_tip","R",97.4,2371
1.9,3.31,"4-Seam Fastball","ball","R",96.3,2397
1.35,3.66,"4-Seam Fastball","ball","R",94.8,2347
1.2,2.67,"Cutter","ball","R",90.9,2305
0.65,2.55,"4-Seam Fastball","foul","R",95.8,2370
0.25,1.73,"Knuckle Curve","called_strike","R",83.4,2727
0.22,3.02,"Cutter","hit_into_play","R",92,2373
0.21,3.09,"4-Seam Fastball","hit_into_play","R",95.2,2424
-0.62,2.82,"4-Seam Fastball","swinging_strike","L",96.7,2362
0.42,3.24,"Slider","called_strike","L",89.8,2346
0.16,2.74,"Cutter","foul","L",91.3,2435
1.3,0.56,"Knuckle Curve","ball","L",81.8,2816
0.03,2.48,"Knuckle Curve","hit_into_play","R",82.2,2723
-0.25,2.46,"Knuckle Curve","hit_into_play","L",82,2767
-0.16,2.61,"Knuckle Curve","called_strike","L",81.4,2660
1.36,2.17,"Slider","swinging_strike","R",90.8,2371
0.31,1.72,"Knuckle Curve","foul","R",83.5,2745
0.42,3.5,"Slider","ball","R",88.3,2476
-0.64,3.79,"4-Seam Fastball","foul","R",96.5,2221
1.25,0.65,"Knuckle Curve","ball","R",83.6,2797
0.64,2.17,"4-Seam Fastball","called_strike","R",96.6,2395
-0.53,3.51,"4-Seam Fastball","hit_into_play","L",97.9,2424
0.17,0.74,"Changeup","blocked_ball","L",90.1,1796
0.18,3.05,"4-Seam Fastball","foul","L",98.5,2418
-1.51,3.45,"4-Seam Fastball","ball","L",97.6,2383
0.6,-0.86,"Knuckle Curve","ball","L",84.1,2789
-0.35,4.06,"4-Seam Fastball","foul","L",99,2414
-0.9,2.94,"4-Seam Fastball","foul","L",98,2342
-0.24,2.11,"4-Seam Fastball","foul_tip","L",97.4,2353
-0.22,2.05,"4-Seam Fastball","called_strike","L",96.3,2368
-0.03,2.56,"Slider","hit_into_play","L",89,2522
-0.34,2.52,"4-Seam Fastball","foul","L",97.8,2428
0.71,1.99,"Slider","foul","L",89.8,2562
-0.92,3.83,"4-Seam Fastball","ball","L",97.8,2287
0.67,2.77,"4-Seam Fastball","foul","L",96.9,2230
0.64,1.82,"Slider","hit_into_play","R",87.8,2480
-0.2,3.1,"4-Seam Fastball","foul","R",95.8,2307
-0.04,3.15,"4-Seam Fastball","foul","R",95.5,2285
-0.24,2.96,"4-Seam Fastball","foul","R",94.4,2173
-0.48,4.43,"4-Seam Fastball","ball","R",94.8,2249
0.09,2.39,"Slider","hit_into_play","R",87.9,2346
-0.26,2.45,"4-Seam Fastball","foul","R",95.9,2276
1.25,1.61,"Cutter","ball","R",91.2,2456
0.68,0.7,"Knuckle Curve","ball","R",81.3,2685
0.02,2.23,"Slider","hit_into_play","R",88.3,2544
-0.35,2.25,"Knuckle Curve","called_strike","R",80.4,2845
-0.74,3.65,"4-Seam Fastball","ball","R",94.9,2352
-0.63,2.8,"4-Seam Fastball","swinging_strike","L",96.9,2342
-0.11,2.87,"4-Seam Fastball","swinging_strike","L",96.3,2345
0.35,3.09,"4-Seam Fastball","swinging_strike","L",97.5,2500
-0.1,2.69,"4-Seam Fastball","swinging_strike","R",98.7,2413
-0.59,2.42,"Changeup","foul","R",89.1,1536
-0.98,2.51,"Knuckle Curve","foul","R",82,2679
0.6,1.19,"Slider","foul","R",88.4,2517
0.5,2.32,"4-Seam Fastball","called_strike","R",96.7,2448
0.9,0.38,"Knuckle Curve","ball","R",82.5,2766
-0.06,2.78,"Knuckle Curve","called_strike","R",81.7,2876
-1,4.13,"4-Seam Fastball","ball","R",96.4,2477
-0.49,2.99,"4-Seam Fastball","hit_into_play","L",96.4,2380
1.14,1.07,"Slider","ball","L",88.9,2590
0.34,4.18,"4-Seam Fastball","ball","L",96.2,2355
-0.52,2.7,"4-Seam Fastball","foul","L",95.8,2434
-0.81,3.78,"4-Seam Fastball","ball","L",95.9,2375
0.03,2.43,"4-Seam Fastball","swinging_strike","L",96.1,2387
-0.36,4.27,"4-Seam Fastball","swinging_strike","R",98.7,2385
-0.04,3.6,"4-Seam Fastball","foul","R",98.1,2413
1.68,0.23,"Cutter","blocked_ball","R",93.1,2461
1.38,0.88,"Slider","ball","R",90,2411
-0.46,2.26,"Slider","called_strike","R",90,2352
1.19,1.32,"Slider","swinging_strike","L",90.5,2477
-1.38,0.64,"Changeup","ball","L",90.4,1550
0.76,1.5,"Knuckle Curve","foul","L",84.6,2801
-0.35,2.87,"4-Seam Fastball","foul","L",98.2,2512
-0.28,1.33,"Knuckle Curve","foul","L",82.7,2779
0.37,3.21,"4-Seam Fastball","foul","L",97.3,2295
-0.33,2.43,"4-Seam Fastball","foul","L",97.5,2434
-1.53,3.54,"Slider","ball","L",90.6,2506
-0.55,2.92,"4-Seam Fastball","hit_into_play","R",97.3,2348
-0.56,3.81,"4-Seam Fastball","ball","R",98.1,2375
-0.55,4.66,"4-Seam Fastball","ball","R",97.4,2367
0.93,2.56,"Slider","foul","R",90.3,2353
0.01,2.93,"4-Seam Fastball","foul","R",98,2316
1.21,2.04,"Slider","ball","R",89.3,2527
0.46,2.45,"Slider","swinging_strike","R",88.9,2462
-1.11,2.01,"4-Seam Fastball","hit_into_play","R",96.7,2348
0.78,2.33,"4-Seam Fastball","ball","R",98.2,2460
0.58,3.26,"Cutter","hit_into_play","L",92,2597
0.68,1.99,"Slider","hit_into_play","R",89.5,2465
1.72,2.87,"4-Seam Fastball","ball","R",98.3,2312
-0.27,3.33,"Knuckle Curve","called_strike","L",84.2,2751
1.74,0.65,"Cutter","blocked_ball","L",92.6,2634
-0.49,2.18,"Changeup","foul","L",90.4,1663
-1.17,1.23,"Changeup","ball","L",89.6,1516
0.18,1.72,"Knuckle Curve","foul","L",85.1,2749
0.36,2.99,"4-Seam Fastball","hit_into_play","L",97.4,2294
1.18,2.36,"4-Seam Fastball","ball","L",98.6,2362
-0.61,1.16,"Changeup","ball","L",88.9,1499
0.62,2.29,"Cutter","swinging_strike","R",91.9,2211
0.08,2.67,"4-Seam Fastball","foul","R",98.3,2284
1.33,0.99,"Slider","ball","R",88.5,2421
0.6,1.98,"Slider","swinging_strike","R",89,2493
0.18,3.01,"Slider","hit_into_play","R",88.4,2377
0.51,3.4,"4-Seam Fastball","foul","R",95.7,2353
