release_spin_rate,release_speed,balls,strikes,result_derived,stand,in_or_off_plate,num_on_base,outs_when_up
2064.0,95.5,0,0,strike,R,outside,0,1
1741.0,77.0,1,2,out,L,inside,0,0
2162.0,94.5,0,2,ball,L,outside,0,0
2219.0,95.2,0,1,strike,L,inside,0,0
2182.0,93.8,0,0,strike,L,inside,0,0
1604.0,86.3,3,2,walk,R,outside,2,0
1646.0,86.7,3,2,foul,R,outside,2,0
1840.0,74.3,2,2,ball,R,outside,2,0
1568.0,87.1,2,2,foul,R,outside,2,0
2165.0,93.0,2,1,foul,R,inside,2,0
2378.0,90.5,1,1,ball,R,outside,2,0
1651.0,85.1,0,1,ball,R,outside,2,0
1544.0,84.3,0,0,strike,R,inside,2,0
1450.0,84.1,0,1,hit,L,inside,1,0
2105.0,88.4,0,0,strike,L,inside,1,0
2078.0,93.2,0,0,hit,R,inside,0,0
2047.0,93.4,0,0,out,L,inside,1,2
1746.0,71.1,0,0,out,L,inside,1,1
1602.0,86.8,0,1,hit,R,inside,0,1
2031.0,91.9,0,0,strike,R,inside,0,1
1462.0,85.8,1,2,out,L,inside,0,0
1623.0,73.2,0,2,ball,L,outside,0,0
2029.0,92.4,0,2,foul,L,outside,0,0
2125.0,87.1,0,1,strike,L,outside,0,0
1783.0,72.0,0,0,strike,L,inside,0,0
1781.0,75.1,2,2,out,R,outside,0,2
2146.0,92.8,2,1,strike,R,inside,0,2
2104.0,93.2,2,0,foul,R,inside,0,2
2388.0,88.4,1,0,ball,R,outside,0,2
1725.0,74.3,0,0,ball,R,outside,0,2
2176.0,92.1,3,1,out,L,inside,0,1
2103.0,91.6,3,0,strike,L,inside,0,1
1616.0,85.7,2,0,ball,L,outside,0,1
2106.0,92.5,1,0,ball,L,outside,0,1
2151.0,86.5,0,0,ball,L,outside,0,1
1541.0,84.5,0,2,out,R,inside,0,0
2143.0,91.7,0,1,foul,R,inside,0,0
1800.0,72.2,0,0,strike,R,inside,0,0
2219.0,93.3,1,2,out,L,inside,0,2
1976.0,75.5,1,1,strike,L,outside,0,2
2147.0,92.2,1,0,strike,L,inside,0,2
2241.0,89.4,0,0,ball,L,outside,0,2
1480.0,87.0,3,2,out,R,outside,0,1
1520.0,87.1,2,2,ball,R,outside,0,1
2078.0,94.8,1,2,ball,R,outside,0,1
2005.0,92.8,1,1,foul,R,inside,0,1
2126.0,84.2,0,1,ball,R,outside,0,1
1484.0,85.2,0,0,strike,R,outside,0,1
1616.0,84.8,2,2,hit,L,inside,0,1
2055.0,93.7,2,2,foul,L,inside,0,1
1647.0,85.7,2,1,foul,L,outside,0,1
1875.0,73.3,2,0,strike,L,inside,0,1
2237.0,87.2,1,0,ball,L,outside,0,1
2080.0,91.8,0,0,ball,L,outside,0,1
2065.0,91.8,3,1,out,L,inside,0,0
1473.0,84.5,2,1,ball,L,inside,0,0
2032.0,92.3,1,1,ball,L,outside,0,0
1656.0,87.3,0,1,ball,L,outside,0,0
1880.0,73.0,0,0,strike,L,inside,0,0
2083.0,83.4,0,0,hit,R,inside,1,2
1623.0,84.4,2,2,out,L,inside,1,1
2145.0,88.5,2,1,foul,L,inside,1,1
1552.0,84.3,2,0,strike,L,inside,1,1
1651.0,84.7,1,0,ball,L,outside,1,1
2111.0,87.9,0,0,ball,L,outside,1,1
1585.0,82.7,2,2,out,R,inside,1,0
2141.0,92.6,2,1,foul,R,inside,1,0
1579.0,86.1,1,1,ball,R,outside,1,0
2126.0,82.6,0,1,ball,R,outside,1,0
2139.0,93.9,0,0,strike,R,inside,1,0
1615.0,85.8,3,2,walk,L,outside,0,0
2000.0,75.2,2,2,ball,L,outside,0,0
2281.0,89.5,2,1,foul,L,inside,0,0
1631.0,85.9,1,1,ball,L,outside,0,0
2222.0,93.0,1,0,strike,L,inside,0,0
1944.0,73.4,0,0,ball,L,outside,0,0
2214.0,87.6,3,2,hit,R,inside,0,0
1686.0,86.8,2,2,ball,R,outside,0,0
2164.0,82.4,1,2,ball,R,outside,0,0
1641.0,87.2,1,1,foul,R,outside,0,0
2176.0,88.1,1,0,strike,R,inside,0,0
2066.0,82.7,0,0,ball,R,outside,0,0
1592.0,85.0,1,0,out,L,inside,0,2
1865.0,74.0,0,0,ball,L,outside,0,2
1645.0,85.8,3,2,out,R,outside,0,1
1701.0,85.4,2,2,ball,R,outside,0,1
2264.0,96.3,1,2,ball,R,outside,0,1
1547.0,84.8,0,2,ball,R,outside,0,1
1677.0,86.6,0,1,foul,R,outside,0,1
2124.0,93.3,0,0,strike,R,inside,0,1
2152.0,93.0,0,0,out,L,inside,0,0
2304.0,88.8,3,2,out,R,inside,0,2
1681.0,89.2,2,2,ball,R,outside,0,2
2203.0,94.8,1,2,ball,R,outside,0,2
2304.0,90.1,1,1,strike,R,inside,0,2
1512.0,86.2,0,1,ball,R,outside,0,2
2114.0,93.1,0,0,strike,R,inside,0,2
2056.0,93.0,3,1,out,L,outside,1,0
2122.0,92.0,2,1,ball,L,outside,1,0
1643.0,73.8,1,1,ball,L,outside,1,0
2193.0,88.4,1,0,foul,L,inside,1,0
1946.0,93.0,0,0,ball,L,outside,1,0
1798.0,74.8,1,0,hit,L,inside,0,0
1714.0,72.4,0,0,ball,L,outside,0,0
2056.0,92.7,2,1,out,R,inside,0,2
